Success?,Name,Degenerate?,KL Div,Dependence
success,19/399.mat,0,2.155517,0.159769
success,19/3664.mat,0,3.654311,0.139133
success,22/578.mat,0,3.007576,0.104856
success,30/7280.mat,0,3.862816,0.09452
success,30/7401.mat,0,2.174066,0.080679
success,30/3127.mat,0,1.605655,0.076003
success,29/2610.mat,0,2.087917,0.071947
success,30/2596.mat,0,1.139934,0.058302
success,21/8043.mat,0,1.225807,0.058152
success,21/9862.mat,0,3.468723,0.055774
success,19/5363.mat,0,1.46496,0.05233
success,19/9670.mat,0,1.994658,0.051659
success,21/6190.mat,0,4.550405,0.051571
success,30/8176.mat,0,2.354876,0.050011
success,29/1190.mat,0,2.721086,0.049588
success,30/5585.mat,0,2.73303,0.049309
success,30/5102.mat,0,0.896982,0.048896
success,22/289.mat,0,1.402332,0.048124
success,29/9263.mat,0,4.905177,0.045687
success,21/2722.mat,0,1.573353,0.044157
success,30/2188.mat,0,3.076428,0.043817
success,30/7918.mat,0,4.627958,0.040956
success,30/4393.mat,0,3.72706,0.033741
success,29/7727.mat,0,3.697901,0.032812
success,30/9079.mat,0,3.501213,0.031388
fail,17/1326.mat,0,0.395466,0.017278
fail,21/1699.mat,0,7.551325,0.028515
fail,21/1815.mat,0,3.951831,0.008769
fail,21/2829.mat,1,2.684727,0
fail,21/3979.mat,0,6.603407,0.021211
fail,21/4286.mat,0,1.064941,0.001014
fail,21/4779.mat,0,0.807447,0.009042
fail,21/5091.mat,0,9.742783,0.038181
fail,21/5148.mat,0,4.38286,0.016897
fail,21/676.mat,1,10.954988,0
fail,21/6866.mat,0,9.61406,0.015596
fail,21/6979.mat,0,5.218695,0.17618
fail,21/7929.mat,1,11.678722,0
fail,21/7986.mat,0,4.24109,0.005974
fail,21/8101.mat,0,11.696947,0.01885
fail,21/8717.mat,0,7.585083,0.011837
fail,29/1761.mat,0,17.782817,0.04329
fail,29/2590.mat,0,24.026148,0.02483
fail,29/2978.mat,1,1.509337,0.000183
fail,29/4817.mat,1,6.959866,0
fail,29/4964.mat,0,6.763505,0.037227
fail,29/498.mat,1,1.65155,0
fail,29/6203.mat,0,11.907747,0.057806
fail,29/6394.mat,1,4.460541,0
fail,29/6717.mat,0,2.458468,0.003751
fail,29/6856.mat,1,3.658495,0.049579
fail,29/7000.mat,0,3.065496,0.024295
fail,29/7217.mat,1,4.75318,0.010744
fail,29/7244.mat,0,5.035563,0.055372
fail,29/7283.mat,0,2.333435,0.003884
fail,29/7918.mat,0,7.584072,0.050015
fail,29/7936.mat,0,8.847583,0.010274
fail,29/8579.mat,1,13.517731,0
fail,29/8970.mat,0,14.31697,0.050101
fail,30/15.mat,0,10.441958,0.041689
fail,30/1555.mat,0,8.406961,0.035453
fail,30/1893.mat,0,5.820681,0.044446
fail,30/2128.mat,0,5.065769,0.079259
fail,30/2136.mat,1,10.8918,0.021763
fail,30/3452.mat,1,1.696592,0.013714
fail,30/3727.mat,0,1.806546,0.026826
fail,30/5568.mat,0,8.507928,0.066336
fail,30/6242.mat,0,2.422919,0.013546
fail,30/7269.mat,0,5.06004,0.043771
fail,30/8524.mat,0,13.47098,0.026627
fail,30/95.mat,0,2.589079,0.015759
